$,380019824,51604,49659,324.87,312.38,0.00,0.00,
$,380029844,51706,49758,318.11,308.76,0.00,0.00,
$,380039864,51808,49855,318.11,302.52,0.00,0.00,
$,380049868,51908,49951,312.38,299.88,0.00,0.00,
$,380059872,52007,50046,309.25,296.76,0.00,0.00,
$,380069900,52105,50139,305.39,289.81,0.00,0.00,
$,380079940,52202,50231,301.92,286.35,0.00,0.00,
$,380089956,52298,50322,299.52,283.92,0.00,0.00,
$,380099976,52393,50411,296.28,277.57,0.00,0.00,
$,380109980,52487,50499,293.63,274.89,0.00,0.00,
$,380119984,52579,50586,287.39,271.77,0.00,0.00,
$,380130004,52670,50671,283.81,265.09,0.00,0.00,
$,380140028,52761,50755,283.69,261.87,0.00,0.00,
$,380150068,52850,50838,277.02,258.34,0.00,0.00,
$,380160076,52939,50920,277.90,256.05,0.00,0.00,
$,380170080,53025,51000,268.64,249.90,0.00,0.00,
$,380180096,53112,51079,271.44,246.48,0.00,0.00,
$,380190100,53197,51157,265.52,243.65,0.00,0.00,
$,380200104,53281,51234,262.40,240.53,0.00,0.00,
$,380210108,53364,51309,259.27,234.28,0.00,0.00,
$,380220112,53446,51383,256.15,231.16,0.00,0.00,
$,380230116,53526,51456,249.90,228.03,0.00,0.00,
$,380240124,53606,51528,249.80,224.82,0.00,0.00,
$,380250144,53686,51599,249.50,221.43,0.00,0.00,
$,380260148,53764,51669,243.65,218.66,0.00,0.00,
$,380270152,53840,51737,237.41,212.42,0.00,0.00,
$,380280156,53916,51804,237.41,209.29,0.00,0.00,
$,380290180,53991,51871,233.81,208.87,0.00,0.00,
$,380300184,54065,51936,231.16,203.04,0.00,0.00,
$,380310192,54139,52000,231.07,199.84,0.00,0.00,
$,380320196,54211,52063,224.91,196.80,0.00,0.00,
$,380330216,54282,52125,221.43,193.36,0.00,0.00,
$,380340244,54352,52186,218.14,190.09,0.00,0.00,
$,380350252,54422,52246,218.58,187.35,0.00,0.00,
$,380360260,54490,52304,212.33,181.11,0.00,0.00,
$,380370264,54557,52362,209.29,181.18,0.00,0.00,
$,380380296,54624,52419,208.71,177.56,0.00,0.00,
$,380390300,54690,52475,206.17,174.93,0.00,0.00,
$,380400304,54754,52529,199.92,168.68,0.00,0.00,
$,380410320,54818,52583,199.68,168.48,0.00,0.00,
$,380420328,54881,52635,196.72,162.37,0.00,0.00,
$,380430344,54943,52687,193.44,162.24,0.00,0.00,
$,380440364,55004,52738,190.24,159.06,0.00,0.00,
$,380450384,55065,52788,190.24,155.94,0.00,0.00,
$,380460392,55124,52836,184.23,149.88,0.00,0.00,
$,380470400,55182,52884,181.11,149.88,0.00,0.00,
$,380480404,55240,52931,181.18,146.82,0.00,0.00,
$,380490412,55297,52977,177.98,143.64,0.00,0.00,
