$,10018612,34540,0.0,0.00,
$,10028636,34611,0.0,0.00,
$,10038644,34681,0.0,0.00,
$,10048652,34749,0.0,0.00,
$,10058676,34817,0.0,0.00,
$,10068684,34883,0.0,0.00,
$,10078692,34949,0.0,0.00,
$,10088696,35013,0.0,0.00,
$,10098704,35076,0.0,0.00,
$,10108712,35139,0.0,0.00,
$,10118716,35200,0.0,0.00,
$,10128720,35260,0.0,0.00,
$,10138756,35320,0.0,0.00,
$,10148764,35378,0.0,0.00,
$,10158772,35436,0.0,0.00,
$,10168776,35493,0.0,0.00,
$,10178780,35548,0.0,0.00,
$,10188784,35603,0.0,0.00,
$,10198792,35656,0.0,0.00,
$,10208796,35709,0.0,0.00,
$,10218800,35761,0.0,0.00,
$,10228808,35812,0.0,0.00,
$,10238816,35862,0.0,0.00,
$,10248832,35911,0.0,0.00,
$,10258840,35959,0.0,0.00,
$,10268848,36007,0.0,0.00,
$,10278852,36054,0.0,0.00,
$,10288876,36099,0.0,0.00,
$,10298880,36144,0.0,0.00,
$,10308884,36188,0.0,0.00,
$,10318888,36231,0.0,0.00,
$,10328896,36274,0.0,0.00,
$,10338900,36315,0.0,0.00,
$,10348904,36356,0.0,0.00,
$,10358912,36396,0.0,0.00,
$,10368920,36435,0.0,0.00,
$,10378924,36473,0.0,0.00,
$,10388932,36511,0.0,0.00,
$,10398936,36547,0.0,0.00,
$,10408964,36583,0.0,0.00,
$,10418968,36618,0.0,0.00,
$,10428988,36653,0.0,0.00,
$,10438996,36686,0.0,0.00,
$,10449004,36719,0.0,0.00,
$,10459008,36751,0.0,0.00,
$,10469028,36783,0.0,0.00,
$,10479036,36814,0.0,0.00,
$,10489044,36844,0.0,0.00,
$,10499048,36873,0.0,0.00,
$,10509056,36901,0.0,0.00,
$,10519064,36929,0.0,0.00,
$,10529072,36957,0.0,0.00,
$,10539076,36983,0.0,0.00,
$,10549080,37009,0.0,0.00,
$,10559084,37034,0.0,0.00,
$,10569092,37058,0.0,0.00,
$,10579100,37082,0.0,0.00,
$,10589108,37106,0.0,0.00,
$,10599116,37128,0.0,0.00,
$,10609120,37150,0.0,0.00,
$,10619128,37171,0.0,0.00,
$,10629136,37192,0.0,0.00,
$,10639140,37212,0.0,0.00,
$,10649148,37232,0.0,0.00,
$,10659168,37250,0.0,0.00,
$,10669188,37269,0.0,0.00,
$,10679196,37287,0.0,0.00,
$,10689200,37304,0.0,0.00,
$,10699208,37320,0.0,0.00,
$,10709216,37337,0.0,0.00,
$,10719220,37352,0.0,0.00,
$,10729228,37367,0.0,0.00,
$,10739236,37381,0.0,0.00,
$,10749240,37395,0.0,0.00,
$,10759256,37409,0.0,0.00,
$,10769264,37421,0.0,0.00,
$,10779272,37433,0.0,0.00,
$,10789280,37445,0.0,0.00,
$,10799296,37457,0.0,0.00,
$,10809300,37468,0.0,0.00,
$,10819308,37478,0.0,0.00,
$,10829312,37487,0.0,0.00,
$,10839316,37497,0.0,0.00,
$,10849320,37506,0.0,0.00,
$,10859324,37514,0.0,0.00,
$,10869332,37522,0.0,0.00,
$,10879340,37530,0.0,0.00,
$,10889348,37537,0.0,0.00,
$,10899352,37543,0.0,0.00,
$,10909356,37549,0.0,0.00,
$,10919360,37555,0.0,0.00,
$,10929368,37560,0.0,0.00,
$,10939376,37565,0.0,0.00,
$,10949400,37570,0.0,0.00,
$,10959404,37574,0.0,0.00,
$,10969412,37577,0.0,0.00,
$,10979420,37581,0.0,0.00,
$,10989424,37583,0.0,0.00,
$,10999432,37586,0.0,0.00,
$,11009436,37588,0.0,0.00,
$,11019444,37590,0.0,0.00,
$,11029452,37592,0.0,0.00,
$,11039460,37593,0.0,0.00,
$,11049468,37594,0.0,0.00,
$,11059476,37594,0.0,0.00,
$,11069480,37593,0.0,0.00,
$,11079484,37593,0.0,0.00,
$,11089488,37592,0.0,0.00,
$,11099496,37592,0.0,0.00,
$,11109504,37592,0.0,0.00,
$,11119512,37591,0.0,0.00,
$,11129516,37591,0.0,0.00,
$,11139520,37591,0.0,0.00,
$,11149524,37591,0.0,0.00,
$,11159532,37591,0.0,0.00,
$,11169540,37591,0.0,0.00,
$,11179544,37591,0.0,0.00,
$,11189548,37591,0.0,0.00,
$,11199556,37591,0.0,0.00,
$,11209560,37591,0.0,0.00,
$,11219564,37591,0.0,0.00,
$,11229568,37591,0.0,0.00,
$,11239572,37591,0.0,0.00,
$,11249576,37591,0.0,0.00,
$,11259584,37591,0.0,0.00,
$,11269588,37591,0.0,0.00,
$,11279592,37591,0.0,0.00,
$,11289596,37591,0.0,0.00,
$,11299600,37591,0.0,0.00,
$,11309604,37591,0.0,0.00,
$,11319608,37591,0.0,0.00,
$,11329612,37591,0.0,0.00,
$,11339616,37591,0.0,0.00,
$,11349620,37591,0.0,0.00,
$,11359624,37591,0.0,0.00,
$,11369632,37591,0.0,0.00,
$,11379640,37591,0.0,0.00,
$,11389644,37591,0.0,0.00,
$,11399648,37591,0.0,0.00,
$,11409652,37591,0.0,0.00,
$,11419664,37591,0.0,0.00,
$,11429668,37591,0.0,0.00,
$,11439676,37591,0.0,0.00,
$,11449680,37591,0.0,0.00,
$,11459684,37591,0.0,0.00,
$,11469688,37591,0.0,0.00,
$,11479692,37591,0.0,0.00,
$,11489696,37591,0.0,0.00,
$,11499700,37591,0.0,0.00,
$,11509704,37591,0.0,0.00,
$,11519708,37591,0.0,0.00,
$,11529716,37591,0.0,0.00,
$,11539724,37591,0.0,0.00,
$,11549728,37591,0.0,0.00,
$,11559732,37591,0.0,0.00,
$,11569736,37591,0.0,0.00,
$,11579740,37591,0.0,0.00,
$,11589744,37591,0.0,0.00,
$,11599752,37591,0.0,0.00,
$,11609756,37591,0.0,0.00,
$,11619760,37591,0.0,0.00,
$,11629764,37591,0.0,0.00,
